transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash
T3955223,2023-01-01T01:22:26.932693,ACC677399,ACC637825,398.06,withdrawal,online,Singapore,web,False,,-380.8646318955556,0.19,18,0.42,ACH,27.196.251.184,D1272548
T505324,2023-01-01T02:08:14.074234,ACC174481,ACC728710,267.98,withdrawal,entertainment,Singapore,web,False,,-2235.34743438,-0.45,17,0.42,wire_transfer,188.233.255.83,D3712010
T2296153,2023-01-01T02:19:13.675946,ACC452592,ACC935958,9.26,transfer,other,Toronto,mobile,False,,-1973.7383697872224,1.51,18,0.68,wire_transfer,44.126.37.20,D7721414
T741957,2023-01-01T04:36:23.134271,ACC248572,ACC300441,105.12,payment,restaurant,Dubai,web,False,,-1299.543231294722,0.05,10,0.22,wire_transfer,20.84.215.57,D3271910
T4415004,2023-01-01T04:43:05.853068,ACC183550,ACC593233,12.47,transfer,travel,Sydney,atm,True,card_not_present,-4464.653902322778,-2.25,11,0.29,wire_transfer,196.164.178.173,D4077636
T221104,2023-01-01T04:58:53.380564,ACC579893,ACC272339,116.65,payment,utilities,Sydney,pos,False,,,-1.37,8,0.61,UPI,8.18.18.121,D6866564
T1741209,2023-01-01T05:12:38.302234,ACC628618,ACC994174,23.9,payment,restaurant,Dubai,pos,False,,-5395.931818960834,0.54,19,0.05,wire_transfer,188.153.113.82,D3677782
T3186171,2023-01-01T05:52:18.392202,ACC652860,ACC775831,7.46,transfer,travel,Sydney,web,False,,-7805.408920529167,-0.05,6,0.69,card,26.212.68.18,D7172566
T658694,2023-01-01T05:56:04.984439,ACC349482,ACC444187,313.73,withdrawal,online,Dubai,web,False,,,-0.08,17,0.25,wire_transfer,52.54.110.208,D4544929
T2340489,2023-01-01T05:56:16.136308,ACC268189,ACC651750,168.93,withdrawal,other,Tokyo,pos,False,,-974.1310752288888,-0.23,14,0.42,card,163.88.95.11,D9638219
T1848085,2023-01-01T06:07:03.931883,ACC438364,ACC583740,78.65,transfer,grocery,New York,pos,False,,-587.9702664244444,0.53,16,0.2,UPI,126.144.126.113,D2608736
T3859051,2023-01-01T06:07:17.736441,ACC228858,ACC860611,55.99,transfer,other,Sydney,mobile,False,,-171.73330769166668,0.62,16,0.63,ACH,62.106.144.64,D8502913
T121598,2023-01-01T07:06:01.396295,ACC471769,ACC219270,30.06,transfer,travel,London,atm,False,,,-0.61,16,0.67,UPI,10.79.147.21,D8760495
T3950781,2023-01-01T07:07:50.375473,ACC250704,ACC193069,3.03,transfer,entertainment,Tokyo,atm,False,,-1268.9591264408332,-1.95,14,0.47,ACH,196.56.190.141,D1548677
T3019674,2023-01-01T07:11:32.816165,ACC739220,ACC694432,33.08,transfer,online,Toronto,pos,False,,-2599.1981664125,-1.32,7,0.27,UPI,74.217.176.109,D1269979
T2476393,2023-01-01T07:15:23.503657,ACC732311,ACC884282,202.0,withdrawal,grocery,Toronto,mobile,False,,,0.17,8,0.84,wire_transfer,206.176.80.51,D4066644
T3407059,2023-01-01T08:09:45.859818,ACC678283,ACC201847,16.23,transfer,travel,London,mobile,False,,,-0.27,15,0.44,UPI,250.15.224.227,D8092645
T4730620,2023-01-01T08:35:34.144998,ACC475288,ACC487430,426.49,withdrawal,travel,London,web,False,,-3658.840902544167,0.58,4,0.34,ACH,63.241.230.122,D3676213
T4338709,2023-01-01T08:42:08.931767,ACC624112,ACC660174,458.16,withdrawal,retail,Toronto,atm,False,,-7976.428146417223,0.81,12,0.62,UPI,186.193.150.74,D6240839
T621768,2023-01-01T09:01:17.405363,ACC137426,ACC395169,1115.18,deposit,other,Dubai,pos,False,,,2.0,18,0.48,ACH,93.61.142.3,D4373313
T881970,2023-01-01T09:02:50.842946,ACC814793,ACC337824,51.7,payment,utilities,Singapore,atm,False,,-4852.043840103333,1.65,10,0.53,card,33.26.22.54,D9262320
T688607,2023-01-01T09:25:37.142293,ACC620293,ACC735707,17.27,withdrawal,online,New York,web,False,,-5391.108280002778,0.9,17,0.92,UPI,239.141.122.134,D6290657
T556962,2023-01-01T09:51:23.390438,ACC251080,ACC608918,776.51,deposit,online,Toronto,mobile,False,,,0.2,11,0.18,UPI,170.234.141.49,D5807616
T4922203,2023-01-01T09:55:21.158622,ACC309989,ACC177492,90.19,payment,utilities,Sydney,pos,False,,-6907.516745133888,-1.6,14,0.78,wire_transfer,114.145.219.177,D9991317
T2629467,2023-01-01T10:07:34.149597,ACC253827,ACC922363,36.52,payment,retail,Toronto,mobile,False,,-4978.772696395277,-0.38,4,0.39,ACH,109.168.250.78,D6846573
T4293435,2023-01-01T10:12:01.263214,ACC875693,ACC640319,47.34,payment,other,Dubai,web,False,,-7809.125808970555,0.18,8,0.98,ACH,52.156.186.212,D7643953
T758573,2023-01-01T10:23:33.354806,ACC944227,ACC608467,51.48,transfer,online,New York,pos,False,,-4708.582619065278,-0.55,20,0.31,UPI,35.181.191.84,D4609021
T3992234,2023-01-01T10:50:12.595665,ACC959627,ACC205567,486.59,deposit,utilities,Sydney,web,True,card_not_present,-4977.954431018889,-1.2,2,0.13,UPI,204.167.78.77,D7349051
T3766285,2023-01-01T10:52:16.279889,ACC400779,ACC172060,0.01,withdrawal,utilities,New York,pos,False,,-2133.689588387778,-0.65,13,0.57,wire_transfer,6.47.47.29,D6730646
T4465481,2023-01-01T10:53:49.707367,ACC528336,ACC138725,143.51,withdrawal,restaurant,London,mobile,False,,-5169.1749340900005,-1.06,18,0.98,wire_transfer,126.51.188.82,D4118034
T2544323,2023-01-01T10:56:54.665724,ACC627140,ACC563873,484.57,withdrawal,other,Toronto,web,False,,-6095.904043310277,1.6,8,0.35,ACH,100.182.154.246,D9801735
T612588,2023-01-01T10:58:31.626236,ACC868573,ACC302807,76.53,payment,retail,Singapore,pos,False,,-2353.15347973,0.73,7,0.83,card,171.19.117.223,D5724632
T1677150,2023-01-01T11:19:39.624431,ACC983472,ACC844886,1205.0,deposit,utilities,Singapore,web,False,,-6382.340947628612,-0.91,13,0.14,UPI,156.21.29.136,D5428360
T4717169,2023-01-01T11:19:47.166783,ACC530669,ACC722235,282.91,payment,other,Dubai,mobile,False,,-3057.002421418333,-0.72,5,0.87,card,66.7.170.160,D1176110
T4692874,2023-01-01T12:01:28.189933,ACC550975,ACC738593,28.64,transfer,grocery,New York,pos,False,,-4284.617732703056,0.86,1,0.38,ACH,199.242.236.143,D6637916
T4313327,2023-01-01T12:05:58.271439,ACC506808,ACC181117,54.84,transfer,entertainment,New York,pos,False,,-1792.126603028611,-0.88,13,0.97,wire_transfer,95.87.251.77,D7721120
T907546,2023-01-01T12:15:14.767598,ACC942286,ACC965789,204.18,withdrawal,other,Tokyo,mobile,False,,-1181.730627400278,0.95,17,0.53,card,66.92.246.123,D8105719
T2869336,2023-01-01T12:16:33.187760,ACC775694,ACC729151,487.34,withdrawal,other,Tokyo,web,False,,-6535.898532494444,-0.01,18,0.06,UPI,174.124.32.117,D9177264
T4492131,2023-01-01T12:17:38.246813,ACC850522,ACC852121,48.68,payment,retail,Toronto,mobile,False,,-6140.7905474975005,-1.64,17,0.83,UPI,38.161.92.227,D5047643
T1913461,2023-01-01T12:19:28.823744,ACC965631,ACC268218,6.47,transfer,entertainment,Toronto,mobile,False,,-2358.672609566944,1.5,2,0.33,UPI,168.148.219.29,D1511994
T1358760,2023-01-01T12:36:40.970424,ACC105677,ACC220065,12.76,transfer,online,Tokyo,pos,False,,-4656.745451276945,-1.1,14,0.75,UPI,39.175.40.180,D9783833
T2226960,2023-01-01T12:37:29.863293,ACC348747,ACC777294,36.87,payment,retail,London,pos,False,,-4851.101686249722,1.86,13,0.11,wire_transfer,126.202.244.116,D2080305
T1284242,2023-01-01T12:59:11.214628,ACC234258,ACC474210,933.71,deposit,retail,Toronto,mobile,False,,-1434.5011368491666,1.92,17,0.24,UPI,179.166.233.110,D3891381
T1903889,2023-01-01T13:00:25.091843,ACC161637,ACC669082,732.25,deposit,grocery,Singapore,pos,False,,-4544.681927108333,-1.82,7,0.12,card,178.157.68.137,D7129498
T3528483,2023-01-01T13:38:06.028270,ACC573848,ACC776322,30.69,transfer,grocery,New York,atm,False,,-5221.840289353333,-0.73,1,0.23,UPI,176.242.43.248,D1726180
T3940834,2023-01-01T13:43:04.399065,ACC321315,ACC156300,30.46,transfer,entertainment,Tokyo,atm,False,,-3596.819883060833,0.42,13,0.71,wire_transfer,208.181.165.168,D1202077
T4937661,2023-01-01T13:44:45.812844,ACC850423,ACC356598,2.55,payment,travel,Berlin,web,False,,-673.7527374563889,0.12,1,0.42,UPI,79.221.227.164,D2429717
